tweet_id,timestamp,text,name,stage,retweet_count,favorite_count,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,rating
666051853826850816,2015-11-16 00:35:11,This is an odd dog. Hard on the outside but loving on the inside. Petting still fun. Doesn't play catch well. 2/10 https://t.co/v5A4vzSDdc,,,778,1129,box_turtle,0.933012,False,mud_turtle,0.045885400000000014,False,terrapin,0.017885299999999996,False,2.0
666049248165822465,2015-11-16 00:24:50,Here we have a 1949 1st generation vulpix. Enjoys sweat tea and Fox News. Cannot be phased. 5/10 https://t.co/4B7cOc1EDq,,,39,96,miniature_pinscher,0.560311,True,rottweiler,0.243682,True,doberman,0.154629,True,5.0
666094000022159362,2015-11-16 03:22:39,This appears to be a Mongolian Presbyterian mix. Very tired. Tongue slip confirmed. 9/10 would lie down with https://t.co/mnioXo3IfP,,,67,154,bloodhound,0.195217,True,german_shepherd,0.0782598,True,malinois,0.07562780000000001,True,9.0
666373753744588802,2015-11-16 21:54:18,Those are sunglasses and a jean jacket. 11/10 dog cool af https://t.co/uHXrPkUEyl,,,84,174,soft-coated_wheaten_terrier,0.326467,True,afghan_hound,0.25955100000000003,True,briard,0.206803,True,11.0
666055525042405380,2015-11-16 00:49:46,Here is a Siberian heavily armored polar bear mix. Strong owner. 10/10 I would do unspeakable things to pet this dog https://t.co/rdivxLiqEt,,,221,410,chow,0.692517,True,tibetan_mastiff,0.0582794,True,fur_coat,0.0544486,False,10.0
667090893657276420,2015-11-18 21:23:57,This is Clybe. He is an Anemone Valdez. One ear works. Can look in 2 different directions at once. Tongue slip. 7/10 https://t.co/Ks0jZtdIrr,Clybe,,118,318,chihuahua,0.959514,True,italian_greyhound,0.00537015,True,pomeranian,0.00264133,True,7.0
667878741721415682,2015-11-21 01:34:35,This is Tedrick. He lives on the edge. Needs someone to hit the gas tho. Other than that he's a baller. 10&amp;2/10 https://t.co/LvP1TTYSCN,Tedrick,,113,379,seat_belt,0.200373,False,miniature_pinscher,0.106003,True,schipperke,0.104733,True,2.0
670046952931721218,2015-11-27 01:10:17,This is Ben &amp; Carson. It's impossible for them to tilt their heads in the same direction. Cheeky wink by Ben. 11/10s https://t.co/465sIBdvzU,Ben,,165,624,blenheim_spaniel,0.998335,True,beagle,0.000647289,True,brittany_spaniel,0.000391866,True,11.0
671115716440031232,2015-11-29 23:57:10,"Meet Phred. He isn't steering, looking at the road, or wearing a seatbelt. Phred is a rolling tornado of danger 6/10 https://t.co/mZD7Bo7HfV",Phred,,746,1320,malinois,0.406341,True,kelpie,0.14336600000000002,True,dingo,0.129802,False,6.0
672594978741354496,2015-12-04 01:55:13,Meet Scott. Just trying to catch his train to work. Doesn't need everybody staring. 9/10 ignore the haters pupper https://t.co/jyXbZ35MYz,Scott,pupper,588,1295,great_pyrenees,0.755945,True,old_english_sheepdog,0.0823368,True,afghan_hound,0.0270366,True,9.0
